Employee_ID,Experience_Years,Projects_Completed,Technical_Skills,Communication_Skills,Interview_Score,Certification_Count,Internships,Coding_Test,Leadership,Problem_Solving,Attendance,Teamwork,Client_Rating,Work_Hours,Salary
E385,1,1,50,52,51,0,1,46,40,48,84,58,2.9,36,21000
E386,4,6,69,71,73,2,2,67,63,68,90,72,4.0,42,50000
E387,9,17,92,90,94,4,4,93,88,92,98,92,5.0,53,117000
E388,2,3,58,62,60,1,1,56,49,58,86,65,3.3,39,30000
E389,5,8,75,77,79,2,2,76,72,75,92,79,4.3,44,62000
E390,7,13,85,84,88,3,3,86,80,85,96,86,4.7,49,89000
E391,3,5,66,68,70,1,2,64,58,65,89,70,3.9,41,41000
E392,6,11,,81,84,3,3,83,77,82,95,84,4.6,47,80000
E393,4,,71,73,75,2,2,69,65,71,91,74,4.1,43,54000
E394,2,3,59,,61,1,1,57,50,59,87,66,3.4,39,31000
E395,8,15,89,87,,4,4,90,85,89,97,89,4.9,50,102000
E396,5,8,74,76,78,,2,75,71,74,92,78,4.2,44,61000
E397,1,1,49,53,50,0,,45,39,47,83,57,2.8,35,20000
E398,30,60,100,100,100,15,15,100,100,100,100,100,5.0,100,4000000
E399,0,0,10,15,12,0,0,8,5,10,25,10,0.1,5,100
E400,50,100,100,100,100,30,30,100,100,100,100,100,5.0,140,9000000
E401,4,6,70,72,74,2,2,68,64,69,90,73,4.0,42,52000
E402,6,10,81,80,83,3,3,82,76,81,94,82,4.5,46,77000
E403,2,3,59,63,61,1,1,57,50,59,87,66,3.4,39,31000
E404,8,15,89,87,91,4,4,90,85,89,97,89,4.9,50,102000
E405,1,1,49,53,50,0,1,45,39,47,83,57,2.8,35,20000
E406,5,8,75,77,79,2,2,76,72,75,92,79,4.3,44,62000
E407,7,12,84,83,87,3,3,85,79,84,96,85,4.7,48,86000
E408,3,5,66,68,70,1,2,64,58,65,89,70,3.9,41,41000
E409,9,17,92,90,94,4,4,93,88,92,98,92,5.0,53,117000
E410,4,7,71,73,75,2,2,69,65,71,91,74,4.1,43,54000
E411,6,11,82,81,84,3,3,83,77,82,95,84,4.6,47,80000
E412,2,2,57,60,58,1,1,55,48,56,85,64,3.2,38,29000
E413,10,18,93,91,95,5,5,95,89,94,99,94,5.0,54,127000
E414,5,9,77,76,80,2,2,78,72,77,93,80,4.4,45,65000
E415,3,4,64,66,67,1,2,62,56,63,88,68,3.7,40,39000
E416,7,13,86,84,88,3,3,87,81,86,96,87,4.8,49,91000
E417,1,1,48,52,49,0,1,44,38,46,82,56,2.7,35,19000
E418,6,10,80,79,82,3,3,81,75,80,94,82,4.5,46,75000
E419,4,6,69,71,73,2,2,67,63,68,90,72,4.0,42,50000
E420,8,14,88,86,90,4,4,89,84,88,97,88,4.8,50,99000
E421,2,3,58,62,60,1,1,56,49,58,86,65,3.3,39,30000
E422,5,8,74,76,78,2,2,75,71,74,92,78,4.2,44,61000
E423,9,16,91,89,93,4,4,92,87,91,98,92,5.0,52,114000
E424,3,5,67,69,71,1,2,65,59,66,89,70,3.9,41,42000
E425,6,11,83,82,85,3,3,84,78,83,95,84,4.6,47,81000
E426,1,1,49,54,50,0,1,45,39,47,83,57,2.8,35,20000
E427,7,12,84,83,87,3,3,85,79,84,96,85,4.7,48,86000
E428,4,7,72,74,76,2,2,70,66,72,91,74,4.1,43,55000
E429,10,19,94,92,96,5,5,96,90,95,99,95,5.0,55,130000
E430,2,2,56,61,58,1,1,54,48,56,85,64,3.2,38,28000
E431,5,9,78,77,81,2,2,79,73,78,93,81,4.4,45,66000
E432,8,14,87,86,90,4,4,88,83,87,97,88,4.8,50,97000
E433,3,4,65,67,68,1,2,63,57,64,88,69,3.8,40,40000
E434,6,10,80,79,82,3,3,81,75,80,94,82,4.5,46,75000
E435,1,1,50,52,51,0,1,46,40,48,84,58,2.9,36,21000
E436,4,6,69,71,73,2,2,67,63,68,90,72,4.0,42,50000
E437,9,17,92,90,94,4,4,93,88,92,98,92,5.0,53,117000
E438,2,3,58,62,60,1,1,56,49,58,86,65,3.3,39,30000
E439,5,8,75,77,79,2,2,76,72,75,92,79,4.3,44,62000
E440,7,13,85,84,88,3,3,86,80,85,96,86,4.7,49,89000
E441,3,5,66,68,70,1,2,64,58,65,89,70,3.9,41,41000
E442,6,11,,81,84,3,3,83,77,82,95,84,4.6,47,80000
E443,4,,71,73,75,2,2,69,65,71,91,74,4.1,43,54000
E444,2,3,59,,61,1,1,57,50,59,87,66,3.4,39,31000
E445,8,15,89,87,,4,4,90,85,89,97,89,4.9,50,102000
E446,5,8,74,76,78,,2,75,71,74,92,78,4.2,44,61000
E447,1,1,49,53,50,0,,45,39,47,83,57,2.8,35,20000
E448,26,52,100,100,100,13,13,100,100,100,100,100,5.0,90,2200000
E449,0,0,12,18,15,0,0,9,6,11,28,12,0.2,6,150
E450,55,110,100,100,100,35,35,100,100,100,100,100,5.0,150,10000000
E451,4,6,70,72,74,2,2,68,64,69,90,73,4.0,42,52000
E452,6,10,81,80,83,3,3,82,76,81,94,82,4.5,46,77000
E453,2,3,59,63,61,1,1,57,50,59,87,66,3.4,39,31000
E454,8,15,89,87,91,4,4,90,85,89,97,89,4.9,50,102000
E455,1,1,49,53,50,0,1,45,39,47,83,57,2.8,35,20000
E456,5,8,75,77,79,2,2,76,72,75,92,79,4.3,44,62000
E457,7,12,84,83,87,3,3,85,79,84,96,85,4.7,48,86000
E458,3,5,66,68,70,1,2,64,58,65,89,70,3.9,41,41000
E459,9,17,92,90,94,4,4,93,88,92,98,92,5.0,53,117000
E460,4,7,71,73,75,2,2,69,65,71,91,74,4.1,43,54000
E461,6,11,82,81,84,3,3,83,77,82,95,84,4.6,47,80000
E462,2,2,57,60,58,1,1,55,48,56,85,64,3.2,38,29000
E463,10,18,93,91,95,5,5,95,89,94,99,94,5.0,54,127000
E464,5,9,77,76,80,2,2,78,72,77,93,80,4.4,45,65000
E465,3,4,64,66,67,1,2,62,56,63,88,68,3.7,40,39000
E466,7,13,86,84,88,3,3,87,81,86,96,87,4.8,49,91000
E467,1,1,48,52,49,0,1,44,38,46,82,56,2.7,35,19000
E468,6,10,80,79,82,3,3,81,75,80,94,82,4.5,46,75000
E469,4,6,69,71,73,2,2,67,63,68,90,72,4.0,42,50000
E470,8,14,88,86,90,4,4,89,84,88,97,88,4.8,50,99000
E471,2,3,58,62,60,1,1,56,49,58,86,65,3.3,39,30000
E472,5,8,74,76,78,2,2,75,71,74,92,78,4.2,44,61000
E473,9,16,91,89,93,4,4,92,87,91,98,92,5.0,52,114000
E474,3,5,67,69,71,1,2,65,59,66,89,70,3.9,41,42000
E475,6,11,83,82,85,3,3,84,78,83,95,84,4.6,47,81000
E476,1,1,49,54,50,0,1,45,39,47,83,57,2.8,35,20000
E477,7,12,84,83,87,3,3,85,79,84,96,85,4.7,48,86000
E478,4,7,72,74,76,2,2,70,66,72,91,74,4.1,43,55000
E479,10,19,94,92,96,5,5,96,90,95,99,95,5.0,55,130000
E480,2,2,56,61,58,1,1,54,48,56,85,64,3.2,38,28000
E481,5,9,78,77,81,2,2,79,73,78,93,81,4.4,45,66000
E482,8,14,87,86,90,4,4,88,83,87,97,88,4.8,50,97000
E483,3,4,65,67,68,1,2,63,57,64,88,69,3.8,40,40000
E484,6,10,80,79,82,3,3,81,75,80,94,82,4.5,46,75000
E485,1,1,50,52,51,0,1,46,40,48,84,58,2.9,36,21000
E486,4,6,69,71,73,2,2,67,63,68,90,72,4.0,42,50000
E487,9,17,92,90,94,4,4,93,88,92,98,92,5.0,53,117000
E488,2,3,58,62,60,1,1,56,49,58,86,65,3.3,39,30000
E489,5,8,75,77,79,2,2,76,72,75,92,79,4.3,44,62000
E490,7,13,85,84,88,3,3,86,80,85,96,86,4.7,49,89000
E491,3,5,66,68,70,1,2,64,58,65,89,70,3.9,41,41000
E492,6,11,,81,84,3,3,83,77,82,95,84,4.6,47,80000
E493,4,,71,73,75,2,2,69,65,71,91,74,4.1,43,54000
E494,2,3,59,,61,1,1,57,50,59,87,66,3.4,39,31000
E495,8,15,89,87,,4,4,90,85,89,97,89,4.9,50,102000
E496,5,8,74,76,78,,2,75,71,74,92,78,4.2,44,61000
E497,1,1,49,53,50,0,,45,39,47,83,57,2.8,35,20000
E498,32,64,100,100,100,16,16,100,100,100,100,100,5.0,105,5000000
E499,0,0,8,12,10,0,0,5,3,6,20,8,0.1,4,50
E500,60,120,100,100,100,40,40,100,100,100,100,100,5.0,160,15000000
